year,source,total_pop,asian_pop,city,tract_geoid
2010,acs5,4694,1516,Boston,25025070101
2011,acs5,5174,1593,Boston,25025070101
2012,acs5,5494,1182,Boston,25025070101
2013,acs5,5597,1510,Boston,25025070101
2014,acs5,5499,1210,Boston,25025070101
2015,acs5,5668,1301,Boston,25025070101
2016,acs5,6212,1901,Boston,25025070101
2017,acs5,6496,1842,Boston,25025070101
2018,acs5,7075,2447,Boston,25025070101
2019,acs5,7409,2364,Boston,25025070101
2020,acs5,3727,2638,Boston,25025070202
2021,acs5,3626,2531,Boston,25025070202
2022,acs5,4233,2413,Boston,25025070202
2023,acs5,4136,2419,Boston,25025070202
2010,acs5,6939,5192,New York,36061002900
2011,acs5,6839,5051,New York,36061002900
2012,acs5,6385,4649,New York,36061002900
2013,acs5,5855,4127,New York,36061002900
2014,acs5,5841,4118,New York,36061002900
2015,acs5,6050,4014,New York,36061002900
2016,acs5,6110,3799,New York,36061002900
2017,acs5,6869,4793,New York,36061002900
2018,acs5,6365,4147,New York,36061002900
2019,acs5,5924,3489,New York,36061002900
2020,acs5,4151,3451,New York,36061002902
2021,acs5,4197,3472,New York,36061002902
2022,acs5,3885,3160,New York,36061002902
2023,acs5,3832,3204,New York,36061002902
2010,acs5,1919,1519,Philadelphia,42101000200
2011,acs5,1897,1443,Philadelphia,42101000200
2012,acs5,2009,1231,Philadelphia,42101000200
2013,acs5,2215,1420,Philadelphia,42101000200
2014,acs5,2285,1277,Philadelphia,42101000200
2015,acs5,2331,1183,Philadelphia,42101000200
2016,acs5,2563,1389,Philadelphia,42101000200
2017,acs5,2683,1626,Philadelphia,42101000200
2018,acs5,2576,1546,Philadelphia,42101000200
2019,acs5,2860,1865,Philadelphia,42101000200
2020,acs5,3175,1898,Philadelphia,42101000200
2021,acs5,3414,1888,Philadelphia,42101000200
2022,acs5,3486,1724,Philadelphia,42101000200
2023,acs5,3259,1392,Philadelphia,42101000200
2010,acs5,2675,582,Washington DC,11001005800
2011,acs5,2784,571,Washington DC,11001005800
2012,acs5,2678,562,Washington DC,11001005800
