year,source,median_rent,median_home_value,total_housing_units,median_household_income,renter_occupied_units,below_poverty,pop_25_over,college_degree_or_higher,unemployed,in_labor_force,city,tract_geoid,renter_pct,college_degree_pct,unemployment_rate
2012,acs5,1941,784100.0,3080,72071.0,1622,1007,3724,2751,247,3011,Boston,25025070101,52.7,73.9,8.2
2013,acs5,1940,759200.0,3172,69964.0,1811,1106,3790,2747,280,3230,Boston,25025070101,57.1,72.5,8.7
2014,acs5,2001,696000.0,3285,90268.0,1614,1017,3755,2984,260,3276,Boston,25025070101,49.1,79.5,7.9
2015,acs5,2231,693800.0,3534,89855.0,1928,1052,3907,3080,203,3518,Boston,25025070101,54.6,78.8,5.8
2016,acs5,2065,733400.0,3874,83750.0,2203,1210,4406,3194,294,3781,Boston,25025070101,56.9,72.5,7.8
2017,acs5,2171,794500.0,4360,88526.0,2195,1160,4614,3282,316,4013,Boston,25025070101,50.3,71.1,7.9
2018,acs5,2301,945100.0,4585,84083.0,2424,1292,5045,3568,309,4147,Boston,25025070101,52.9,70.7,7.5
2019,acs5,2539,965000.0,4661,85333.0,2497,1295,5107,3531,367,4464,Boston,25025070101,53.6,69.1,8.2
2020,acs5,1838,657400.0,2590,29764.0,1787,1196,2758,1374,96,1699,Boston,25025070202,69.0,49.8,5.7
2021,acs5,2211,594200.0,2601,46090.0,1678,965,2601,1345,112,1915,Boston,25025070202,64.5,51.7,5.8
2022,acs5,2034,556800.0,2655,44361.0,1970,1288,2793,1314,125,2196,Boston,25025070202,74.2,47.0,5.7
2023,acs5,1921,694400.0,2667,40694.0,1854,1152,2734,1126,111,2322,Boston,25025070202,69.5,41.2,4.8
2012,acs5,835,684000.0,2458,34327.0,1972,1116,4971,839,116,2527,New York,36061002900,80.2,16.9,4.6
2013,acs5,828,653300.0,2420,35774.0,1856,1027,4593,956,120,2131,New York,36061002900,76.7,20.8,5.6
2014,acs5,888,602000.0,2392,35441.0,1865,992,4771,994,106,2114,New York,36061002900,78.0,20.8,5.0
2015,acs5,916,329400.0,2410,30629.0,1979,965,5052,1227,70,2110,New York,36061002900,82.1,24.3,3.3
2016,acs5,939,,2434,30434.0,2115,824,5215,1592,131,2449,New York,36061002900,86.9,30.5,5.3
2017,acs5,953,756400.0,2573,28861.0,2235,1272,5844,1537,167,2648,New York,36061002900,86.9,26.3,6.3
2018,acs5,984,694000.0,2532,27247.0,2037,1239,5316,1331,125,2169,New York,36061002900,80.5,25.0,5.8
2019,acs5,1128,756400.0,2561,27908.0,2008,1169,5030,1528,79,2090,New York,36061002900,78.4,30.4,3.8
2020,acs5,1338,835400.0,2653,25409.0,1980,1347,3560,1598,82,1850,New York,36061002902,74.6,44.9,4.4
