year,source_demo,total_pop,asian_pop,city,tract_geoid,source_housing,median_rent,median_home_value,total_housing_units,median_household_income,renter_occupied_units,below_poverty,pop_25_over,college_degree_or_higher,unemployed,in_labor_force,renter_pct,college_degree_pct,unemployment_rate
2010,acs5,4694,1516,Boston,25025070101,,,,,,,,,,,,,,
2011,acs5,5174,1593,Boston,25025070101,,,,,,,,,,,,,,
2012,acs5,5494,1182,Boston,25025070101,acs5,1941.0,784100.0,3080.0,72071.0,1622.0,1007.0,3724.0,2751.0,247.0,3011.0,52.7,73.9,8.2
2013,acs5,5597,1510,Boston,25025070101,acs5,1940.0,759200.0,3172.0,69964.0,1811.0,1106.0,3790.0,2747.0,280.0,3230.0,57.1,72.5,8.7
2014,acs5,5499,1210,Boston,25025070101,acs5,2001.0,696000.0,3285.0,90268.0,1614.0,1017.0,3755.0,2984.0,260.0,3276.0,49.1,79.5,7.9
2015,acs5,5668,1301,Boston,25025070101,acs5,2231.0,693800.0,3534.0,89855.0,1928.0,1052.0,3907.0,3080.0,203.0,3518.0,54.6,78.8,5.8
2016,acs5,6212,1901,Boston,25025070101,acs5,2065.0,733400.0,3874.0,83750.0,2203.0,1210.0,4406.0,3194.0,294.0,3781.0,56.9,72.5,7.8
2017,acs5,6496,1842,Boston,25025070101,acs5,2171.0,794500.0,4360.0,88526.0,2195.0,1160.0,4614.0,3282.0,316.0,4013.0,50.3,71.1,7.9
2018,acs5,7075,2447,Boston,25025070101,acs5,2301.0,945100.0,4585.0,84083.0,2424.0,1292.0,5045.0,3568.0,309.0,4147.0,52.9,70.7,7.5
2019,acs5,7409,2364,Boston,25025070101,acs5,2539.0,965000.0,4661.0,85333.0,2497.0,1295.0,5107.0,3531.0,367.0,4464.0,53.6,69.1,8.2
2020,acs5,3727,2638,Boston,25025070202,acs5,1838.0,657400.0,2590.0,29764.0,1787.0,1196.0,2758.0,1374.0,96.0,1699.0,69.0,49.8,5.7
2021,acs5,3626,2531,Boston,25025070202,acs5,2211.0,594200.0,2601.0,46090.0,1678.0,965.0,2601.0,1345.0,112.0,1915.0,64.5,51.7,5.8
